Ethnicity,Gender,FSM,SEN_type,SEN_grouping,Admission_type,School_characteristic,Religious_denomination,Value,Value_type,Denominator,Numerator
All,Boys,All,SEN Supp,All,All,State-funded mainstream,Jewish,38.5,%,65,25
All,All,All,No SEN,All,All,State-funded mainstream,Jewish,80.5,%,1275,1027
All,All,All,SEN Supp,All,All,State-funded mainstream,Jewish,41.8,%,110,46
All,All,All,SEN State EHC,All,All,State-funded mainstream,Jewish,32.5,%,40,13
All,Girls,FSM,All,All,All,State-funded mainstream,Jewish,54.5,%,33,18
All,Boys,FSM,All,All,All,State-funded mainstream,Jewish,34.3,%,35,12
All,Girls,Non-FSM,All,All,All,State-funded mainstream,Jewish,78.6,%,720,566
All,Boys,Non-FSM,All,All,All,State-funded mainstream,Jewish,76.9,%,637,490
All,All,FSM,All,All,All,State-funded mainstream,Jewish,44.1,%,68,30
All,All,Non-FSM,All,All,All,State-funded mainstream,Jewish,77.8,%,1357,1056
All,Boys,All,All,All,All,State-funded mainstream,Jewish,74.7,%,672,502
All,All,All,All,All,All,State-funded mainstream,Jewish,76.2,%,1425,1086
All,Girls,All,All,All,All,State-funded mainstream,Jewish,77.6,%,753,584
All,Boys,All,All,All,All,All state-funded,Jewish,74.7,%,672,502
All,All,All,All,All,All,All state-funded,Jewish,76.2,%,1425,1086
All,Girls,All,All,All,All,All state-funded,Jewish,77.6,%,753,584
All,All,All,All,Any SEN,All,State-funded mainstream,Jewish,39.3,%,150,59
Asian,Boys,All,All,All,All,State-funded mainstream,Jewish,48.1,%,27,13
Asian,Girls,All,All,All,All,State-funded mainstream,Jewish,67.5,%,40,27
Asian,All,All,All,All,All,State-funded mainstream,Jewish,59.7,%,67,40
Black,Girls,All,All,All,All,State-funded mainstream,Jewish,23.5,%,17,4
Black,Boys,All,All,All,All,State-funded mainstream,Jewish,46.7,%,15,7
Black,All,All,All,All,All,State-funded mainstream,Jewish,34.4,%,32,11
All,All,All,All,All,All,All state-funded,All,49.9,%,561994,280417
All,All,FSM,All,All,All,All state-funded,All,27.8,%,88666,24655
Mixed,Boys,All,All,All,All,State-funded mainstream,Jewish,50,%,16,8
Mixed,Girls,All,All,All,All,State-funded mainstream,Jewish,61.5,%,13,8
Mixed,All,All,All,All,All,State-funded mainstream,Jewish,55.2,%,29,16
Other,Girls,All,All,All,All,State-funded mainstream,Jewish,88.9,%,9,8
Other,Boys,All,All,All,All,State-funded mainstream,Jewish,80,%,5,4
Other,All,All,All,All,All,State-funded mainstream,Jewish,85.7,%,14,12
Unknown,Boys,All,All,All,All,State-funded mainstream,Jewish,85.1,%,168,143
Unknown,Girls,All,All,All,All,State-funded mainstream,Jewish,84.4,%,122,103
Unknown,All,All,All,All,All,State-funded mainstream,Jewish,84.8,%,290,246
White,Boys,All,All,All,All,State-funded mainstream,Jewish,74,%,439,325
White,Girls,All,All,All,All,State-funded mainstream,Jewish,78.6,%,551,433
White,All,All,All,All,All,State-funded mainstream,Jewish,76.6,%,990,758
All,Girls,All,All,No identified SEN,All,State-funded mainstream,Muslim,80.1,%,752,602
All,Boys,All,All,Any SEN,All,State-funded mainstream,Muslim,33.3,%,57,19
All,Girls,All,All,Any SEN,All,State-funded mainstream,Muslim,28.6,%,98,28
All,Boys,All,All,No identified SEN,All,State-funded mainstream,Muslim,82.5,%,440,363
All,Girls,All,No SEN,All,All,State-funded mainstream,Muslim,80.1,%,752,602
All,Boys,All,SEN State EHC,All,All,State-funded mainstream,Muslim,25,%,4,1
All,Boys,All,SEN Supp,All,All,State-funded mainstream,Muslim,34,%,53,18
All,All,All,No SEN,All,All,State-funded mainstream,Muslim,81,%,1192,965
All,Girls,All,SEN Supp,All,All,State-funded mainstream,Muslim,28.6,%,91,26
All,Girls,All,SEN State EHC,All,All,State-funded mainstream,Muslim,28.6,%,7,2
All,All,All,SEN Supp,All,All,State-funded mainstream,Muslim,30.6,%,144,44
All,All,All,SEN State EHC,All,All,State-funded mainstream,Muslim,27.3,%,11,3
All,Boys,All,No SEN,All,All,State-funded mainstream,Muslim,82.5,%,440,363
All,Girls,Non-FSM,All,All,All,State-funded mainstream,Muslim,75.9,%,684,519
All,Boys,FSM,All,All,All,State-funded mainstream,Muslim,74,%,77,57
All,Girls,FSM,All,All,All,State-funded mainstream,Muslim,66.9,%,166,111
All,All,FSM,All,All,All,State-funded mainstream,Muslim,69.1,%,243,168
All,All,Non-FSM,All,All,All,State-funded mainstream,Muslim,76.4,%,1104,844
All,Boys,Non-FSM,All,All,All,State-funded mainstream,Muslim,77.4,%,420,325
All,All,All,All,All,All,State-funded mainstream,Muslim,75.1,%,1347,1012
All,Girls,All,All,All,All,All state-funded,Muslim,74.1,%,850,630
All,All,All,All,All,All,All state-funded,Muslim,75.1,%,1347,1012
All,Boys,All,All,All,All,All state-funded,Muslim,76.9,%,497,382
All,All,All,All,No identified SEN,All,State-funded mainstream,Muslim,81,%,1192,965
All,All,All,All,Any SEN,All,State-funded mainstream,Muslim,30.3,%,155,47
All,Girls,All,All,All,All,State-funded mainstream,Muslim,74.1,%,850,630
All,Boys,All,All,All,All,State-funded mainstream,Muslim,76.9,%,497,382
Asian,Boys,All,All,All,All,State-funded mainstream,Muslim,77.9,%,425,331
Asian,Girls,All,All,All,All,State-funded mainstream,Muslim,74.5,%,702,523
Asian,All,All,All,All,All,State-funded mainstream,Muslim,75.8,%,1127,854
Black,Boys,All,All,All,All,State-funded mainstream,Muslim,80.6,%,31,25
Black,Girls,All,All,All,All,State-funded mainstream,Muslim,71.1,%,83,59
Black,All,All,All,All,All,State-funded mainstream,Muslim,73.7,%,114,84
Mixed,Boys,All,All,All,All,State-funded mainstream,Muslim,64.7,%,17,11
Mixed,Girls,All,All,All,All,State-funded mainstream,Muslim,76.2,%,21,16
Mixed,All,All,All,All,All,State-funded mainstream,Muslim,71.1,%,38,27
Other,Girls,All,All,All,All,State-funded mainstream,Muslim,71.4,%,28,20
Other,Boys,All,All,All,All,State-funded mainstream,Muslim,66.7,%,12,8
Other,All,All,All,All,All,State-funded mainstream,Muslim,70,%,40,28
Unknown,Girls,All,All,All,All,State-funded mainstream,Muslim,80,%,10,8
Unknown,Boys,All,All,All,All,State-funded mainstream,Muslim,44.4,%,9,4
Unknown,All,All,All,All,All,State-funded mainstream,Muslim,63.2,%,19,12
White,Girls,All,All,All,All,State-funded mainstream,Muslim,66.7,%,6,4
White,Boys,All,All,All,All,State-funded mainstream,Muslim,100,%,2,2
White,All,All,All,All,All,State-funded mainstream,Muslim,75,%,8,6
All,Boys,All,All,No identified SEN,All,State-funded mainstream,No religious character,52,%,192845,100322
All,All,All,All,Any SEN,All,State-funded mainstream,No religious character,18.9,%,58897,11156
All,Girls,All,All,Any SEN,All,State-funded mainstream,No religious character,21.8,%,22420,4884
All,Girls,All,All,No identified SEN,All,State-funded mainstream,No religious character,57.8,%,200191,115763
All,Boys,All,No SEN,All,All,State-funded mainstream,No religious character,52,%,192845,100322
All,Boys,All,SEN Supp,All,All,State-funded mainstream,No religious character,18.2,%,30168,5500
All,Boys,All,SEN State EHC,All,All,State-funded mainstream,No religious character,12.2,%,6309,772
All,Girls,All,No SEN,All,All,State-funded mainstream,No religious character,57.8,%,200191,115763
All,Boys,All,All,Any SEN,All,State-funded mainstream,No religious character,17.2,%,36477,6272
All,Girls,All,SEN Supp,All,All,State-funded mainstream,No religious character,23.1,%,19967,4603
All,All,All,SEN State EHC,All,All,State-funded mainstream,No religious character,12,%,8762,1053
All,All,All,No SEN,All,All,State-funded mainstream,No religious character,55,%,393036,216085
All,All,All,SEN Supp,All,All,State-funded mainstream,No religious character,20.2,%,50135,10103
All,Boys,Non-FSM,All,All,All,State-funded mainstream,No religious character,50.2,%,194535,97568
All,Girls,Non-FSM,All,All,All,State-funded mainstream,No religious character,58.4,%,187421,109516
All,Boys,FSM,All,All,All,State-funded mainstream,No religious character,25.9,%,34787,9026
All,All,FSM,All,All,All,State-funded mainstream,No religious character,28.8,%,69977,20157
All,Girls,FSM,All,All,All,State-funded mainstream,No religious character,31.6,%,35190,11131
All,All,Non-FSM,All,All,All,State-funded mainstream,No religious character,54.2,%,381956,207084
All,All,All,All,All,All,State-funded mainstream,No religious character,50.3,%,451933,227241
All,Boys,All,All,All,All,State-funded mainstream,No religious character,46.5,%,229322,106594
All,Boys,All,All,All,All,All state-funded,No religious character,44.9,%,237537,106682
All,Girls,All,All,All,All,All state-funded,No religious character,53.5,%,225743,120666
All,All,All,All,All,All,All state-funded,No religious character,49.1,%,463280,227348
All,All,All,All,No identified SEN,All,State-funded mainstream,No religious character,55,%,393036,216085
All,Girls,All,SEN State EHC,All,All,State-funded mainstream,No religious character,11.5,%,2453,281
All,Girls,All,All,All,All,State-funded mainstream,No religious character,54.2,%,222611,120647
Asian,Boys,All,All,All,All,State-funded mainstream,No religious character,54.5,%,25469,13887
Asian,Girls,All,All,All,All,State-funded mainstream,No religious character,61,%,24762,15113
Asian,All,All,All,All,All,State-funded mainstream,No religious character,57.7,%,50231,29000
Black,Girls,All,All,All,All,State-funded mainstream,No religious character,51,%,11214,5720
Black,Boys,All,All,All,All,State-funded mainstream,No religious character,39.7,%,11434,4538
Black,All,All,All,All,All,State-funded mainstream,No religious character,45.3,%,22648,10258
All,All,Non-FSM,All,All,All,All state-funded,All,54,%,473328,255762
All,All,All,All,Any SEN,All,All state-funded,All,16.8,%,82093,13761
Mixed,Boys,All,All,All,All,State-funded mainstream,No religious character,46.5,%,11618,5398
Mixed,Girls,All,All,All,All,State-funded mainstream,No religious character,54,%,11508,6216
Mixed,All,All,All,All,All,State-funded mainstream,No religious character,50.2,%,23126,11614
Other,Boys,All,All,All,All,State-funded mainstream,No religious character,43.8,%,4176,1831
Other,Girls,All,All,All,All,State-funded mainstream,No religious character,54.4,%,3914,2129
Other,All,All,All,All,All,State-funded mainstream,No religious character,48.9,%,8090,3960
Unknown,Girls,All,All,All,All,State-funded mainstream,No religious character,47.1,%,2860,1346
Unknown,Boys,All,All,All,All,State-funded mainstream,No religious character,40.9,%,3154,1289
Unknown,All,All,All,All,All,State-funded mainstream,No religious character,43.8,%,6014,2635
White,Boys,All,All,All,All,State-funded mainstream,No religious character,45.8,%,172702,79077
White,Girls,All,All,All,All,State-funded mainstream,No religious character,53.4,%,167567,89460
White,All,All,All,All,All,State-funded mainstream,No religious character,49.5,%,340269,168537
All,All,All,All,No identified SEN,All,State-funded mainstream,Other Christian faith,61.4,%,8970,5504
All,Girls,All,All,Any SEN,All,State-funded mainstream,Other Christian faith,24.6,%,439,108
All,Girls,All,All,No identified SEN,All,State-funded mainstream,Other Christian faith,61.7,%,4274,2637
All,Boys,All,No SEN,All,All,State-funded mainstream,Other Christian faith,61.1,%,4696,2867
All,Girls,All,SEN Supp,All,All,State-funded mainstream,Other Christian faith,25.9,%,386,100
All,Boys,All,SEN State EHC,All,All,State-funded mainstream,Other Christian faith,16.2,%,142,23
All,Girls,All,No SEN,All,All,State-funded mainstream,Other Christian faith,61.7,%,4274,2637
All,Boys,All,SEN Supp,All,All,State-funded mainstream,Other Christian faith,28.9,%,626,181
All,All,All,SEN Supp,All,All,State-funded mainstream,Other Christian faith,27.8,%,1012,281
All,All,All,No SEN,All,All,State-funded mainstream,Other Christian faith,61.4,%,8970,5504
All,All,All,SEN State EHC,All,All,State-funded mainstream,Other Christian faith,15.9,%,195,31
All,Girls,FSM,All,All,All,State-funded mainstream,Other Christian faith,34.4,%,820,282
All,Girls,Non-FSM,All,All,All,State-funded mainstream,Other Christian faith,63.3,%,3893,2463
All,Boys,Non-FSM,All,All,All,State-funded mainstream,Other Christian faith,61.3,%,4592,2814
All,All,FSM,All,All,All,State-funded mainstream,Other Christian faith,31.9,%,1692,539
All,Boys,FSM,All,All,All,State-funded mainstream,Other Christian faith,29.5,%,872,257
All,All,Non-FSM,All,All,All,State-funded mainstream,Other Christian faith,62.2,%,8485,5277
All,Boys,All,All,All,All,State-funded mainstream,Other Christian faith,56.2,%,5464,3071
All,All,All,All,All,All,State-funded mainstream,Other Christian faith,57.1,%,10177,5816
All,Boys,All,All,All,All,All state-funded,Other Christian faith,56.1,%,5472,3072
All,All,All,All,All,All,All state-funded,Other Christian faith,57.1,%,10185,5817
All,Girls,All,All,All,All,All state-funded,Other Christian faith,58.2,%,4713,2745
All,Boys,All,All,Any SEN,All,State-funded mainstream,Other Christian faith,26.6,%,768,204
All,Boys,All,All,No identified SEN,All,State-funded mainstream,Other Christian faith,61.1,%,4696,2867
All,All,All,All,Any SEN,All,State-funded mainstream,Other Christian faith,25.8,%,1207,312
All,Girls,All,SEN State EHC,All,All,State-funded mainstream,Other Christian faith,15.1,%,53,8
All,Girls,All,All,All,All,State-funded mainstream,Other Christian faith,58.2,%,4713,2745
Asian,Boys,All,All,All,All,State-funded mainstream,Other Christian faith,78.4,%,696,546
Asian,Girls,All,All,All,All,State-funded mainstream,Other Christian faith,82.6,%,438,362
Asian,All,All,All,All,All,State-funded mainstream,Other Christian faith,80.1,%,1134,908
Black,Girls,All,All,All,All,State-funded mainstream,Other Christian faith,54.8,%,299,164
Black,Boys,All,All,All,All,State-funded mainstream,Other Christian faith,48.5,%,369,179
Black,All,All,All,All,All,State-funded mainstream,Other Christian faith,51.3,%,668,343
Mixed,Boys,All,All,All,All,State-funded mainstream,Other Christian faith,64.9,%,336,218
Mixed,Girls,All,All,All,All,State-funded mainstream,Other Christian faith,65.5,%,281,184
Mixed,All,All,All,All,All,State-funded mainstream,Other Christian faith,65.2,%,617,402
Other,Girls,All,All,All,All,State-funded mainstream,Other Christian faith,55.9,%,111,62
Other,Boys,All,All,All,All,State-funded mainstream,Other Christian faith,50.8,%,181,92
Other,All,All,All,All,All,State-funded mainstream,Other Christian faith,52.7,%,292,154
Unknown,Boys,All,All,All,All,State-funded mainstream,Other Christian faith,57.1,%,77,44
Unknown,Girls,All,All,All,All,State-funded mainstream,Other Christian faith,55.9,%,68,38
Unknown,All,All,All,All,All,State-funded mainstream,Other Christian faith,56.6,%,145,82
White,Boys,All,All,All,All,State-funded mainstream,Other Christian faith,51.9,%,3766,1955
White,Girls,All,All,All,All,State-funded mainstream,Other Christian faith,54.7,%,3486,1908
White,All,All,All,All,All,State-funded mainstream,Other Christian faith,53.3,%,7252,3863
All,Girls,All,All,No identified SEN,All,State-funded mainstream,Roman catholic,61.3,%,24336,14906
All,Boys,All,All,No identified SEN,All,State-funded mainstream,Roman catholic,56.4,%,21745,12261
All,Girls,All,No SEN,All,All,State-funded mainstream,Roman catholic,61.3,%,24336,14906
All,Girls,All,All,Any SEN,All,State-funded mainstream,Roman catholic,23.1,%,2507,579
All,Boys,All,No SEN,All,All,State-funded mainstream,Roman catholic,56.4,%,21745,12261
All,Boys,All,SEN Supp,All,All,State-funded mainstream,Roman catholic,20.5,%,3023,620
All,All,All,SEN Supp,All,All,State-funded mainstream,Roman catholic,22.3,%,5258,1173
All,Girls,All,SEN Supp,All,All,State-funded mainstream,Roman catholic,24.7,%,2235,553
All,Girls,All,SEN State EHC,All,All,State-funded mainstream,Roman catholic,9.6,%,272,26
All,Boys,All,SEN State EHC,All,All,State-funded mainstream,Roman catholic,14.8,%,667,99
All,All,All,SEN State EHC,All,All,State-funded mainstream,Roman catholic,13.3,%,939,125
All,All,All,No SEN,All,All,State-funded mainstream,Roman catholic,59,%,46081,27167
All,Boys,FSM,All,All,All,State-funded mainstream,Roman catholic,28.4,%,3429,974
All,Girls,Non-FSM,All,All,All,State-funded mainstream,Roman catholic,61.6,%,23040,14183
All,Boys,Non-FSM,All,All,All,State-funded mainstream,Roman catholic,54.6,%,22006,12006
All,All,FSM,All,All,All,State-funded mainstream,Roman catholic,31.5,%,7232,2276
All,Girls,FSM,All,All,All,State-funded mainstream,Roman catholic,34.2,%,3803,1302
All,All,All,All,All,All,State-funded mainstream,Roman catholic,54.4,%,52278,28465
All,Boys,All,All,All,All,All state-funded,Roman catholic,51,%,25435,12980
All,Girls,All,All,All,All,All state-funded,Roman catholic,57.7,%,26843,15485
All,All,All,All,All,All,All state-funded,Roman catholic,54.4,%,52278,28465
All,All,All,All,No identified SEN,All,State-funded mainstream,Roman catholic,59,%,46081,27167
All,All,All,All,Any SEN,All,State-funded mainstream,Roman catholic,20.9,%,6197,1298
All,Boys,All,All,Any SEN,All,State-funded mainstream,Roman catholic,19.5,%,3690,719
All,All,Non-FSM,All,All,All,State-funded mainstream,Roman catholic,58.1,%,45046,26189
All,Girls,All,All,All,All,State-funded mainstream,Roman catholic,57.7,%,26843,15485
All,Boys,All,All,All,All,State-funded mainstream,Roman catholic,51,%,25435,12980
Asian,Girls,All,All,All,All,State-funded mainstream,Roman catholic,66,%,2179,1439
Asian,Boys,All,All,All,All,State-funded mainstream,Roman catholic,58.9,%,2197,1295
Asian,All,All,All,All,All,State-funded mainstream,Roman catholic,62.5,%,4376,2734
Black,Girls,All,All,All,All,State-funded mainstream,Roman catholic,56.4,%,3231,1823
Black,Boys,All,All,All,All,State-funded mainstream,Roman catholic,45.8,%,2767,1267
Black,All,All,All,All,All,State-funded mainstream,Roman catholic,51.5,%,5998,3090
All,All,All,All,No identified SEN,All,All state-funded,All,55.8,%,477952,266475
Asian,All,FSM,All,All,All,All state-funded,All,43.4,%,10443,4528
Mixed,Girls,All,All,All,All,State-funded mainstream,Roman catholic,58.6,%,1765,1035
Mixed,Boys,All,All,All,All,State-funded mainstream,Roman catholic,51.2,%,1536,786
Mixed,All,All,All,All,All,State-funded mainstream,Roman catholic,55.2,%,3301,1821
Other,Boys,All,All,All,All,State-funded mainstream,Roman catholic,61.2,%,585,358
Other,Girls,All,All,All,All,State-funded mainstream,Roman catholic,63.3,%,599,379
Other,All,All,All,All,All,State-funded mainstream,Roman catholic,62.2,%,1184,737
Unknown,Boys,All,All,All,All,State-funded mainstream,Roman catholic,46.8,%,218,102
Unknown,Girls,All,All,All,All,State-funded mainstream,Roman catholic,54.5,%,246,134
Unknown,All,All,All,All,All,State-funded mainstream,Roman catholic,50.9,%,464,236
White,Boys,All,All,All,All,State-funded mainstream,Roman catholic,50.5,%,18080,9134
White,Girls,All,All,All,All,State-funded mainstream,Roman catholic,56.6,%,18719,10590
White,All,All,All,All,All,State-funded mainstream,Roman catholic,53.6,%,36799,19724
All,Girls,All,All,Any SEN,All,State-funded mainstream,Sikh,26.7,%,15,4
All,Girls,All,All,No identified SEN,All,State-funded mainstream,Sikh,69.5,%,174,121
All,All,All,All,No identified SEN,All,State-funded mainstream,Sikh,68.6,%,373,256
All,Boys,All,All,No identified SEN,All,State-funded mainstream,Sikh,67.8,%,199,135
All,Girls,All,No SEN,All,All,State-funded mainstream,Sikh,69.5,%,174,121
All,Girls,All,SEN State EHC,All,All,State-funded mainstream,Sikh,!,%,1,!
All,Boys,All,No SEN,All,All,State-funded mainstream,Sikh,67.8,%,199,135
All,Boys,All,SEN State EHC,All,All,State-funded mainstream,Sikh,0,%,6,0
All,Boys,All,All,Any SEN,All,State-funded mainstream,Sikh,20,%,25,5
All,Boys,All,SEN Supp,All,All,State-funded mainstream,Sikh,26.3,%,19,5
All,All,All,SEN Supp,All,All,State-funded mainstream,Sikh,24.2,%,33,8
All,All,All,SEN State EHC,All,All,State-funded mainstream,Sikh,14.3,%,7,1
All,All,All,No SEN,All,All,State-funded mainstream,Sikh,68.6,%,373,256
All,Girls,All,SEN Supp,All,All,State-funded mainstream,Sikh,21.4,%,14,3
All,Girls,Non-FSM,All,All,All,State-funded mainstream,Sikh,67.1,%,170,114
All,Boys,Non-FSM,All,All,All,State-funded mainstream,Sikh,65,%,200,130
All,Girls,FSM,All,All,All,State-funded mainstream,Sikh,57.9,%,19,11
All,All,Non-FSM,All,All,All,State-funded mainstream,Sikh,65.9,%,370,244
All,All,FSM,All,All,All,State-funded mainstream,Sikh,48.8,%,43,21
All,Boys,FSM,All,All,All,State-funded mainstream,Sikh,41.7,%,24,10
All,Boys,All,All,All,All,State-funded mainstream,Sikh,62.5,%,224,140
All,All,All,All,All,All,State-funded mainstream,Sikh,64.2,%,413,265
All,Girls,All,All,All,All,All state-funded,Sikh,66.1,%,189,125
All,All,All,All,All,All,All state-funded,Sikh,64.2,%,413,265
